Object ID;Bike route name;Street name;Bikeway type;Subtype;Status;Street segment type;Overall direction;Bikeway direction;Vehicle direction;Speed limit;Surface type;AAA Network;AAA segment;W/N bound type;E/S bound type;Snow removal;Segment length;Year of construction;Construction note;Upgrade year;Notes;Geom;geo_point_2d
11;45th Ave;W 45th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;58.03663784;2011;;;;[-123.13495662080263,49.230448949880966] [-123.13575271726128,49.230475866420036];49.2304624081505,-123.13535466903195
12;45th Ave;W 45th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;102.6708636;2011;;;;[-123.16006643595517,49.23092632390367] [-123.16147625934042,49.2309487362895];49.23093753009658,-123.1607713476478
13;Gladstone;Gladstone;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;12.19675161;2007;pre-2007;;;[-123.06290741160744,49.23893604472142] [-123.06273990578003,49.23893511934982] [-123.06273986318271,49.23893511127726];49.238935581914845,-123.06282363701641
14;Gladstone;Gladstone;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;91.52499012;2005;const date-source unknown;;;[-123.06206040339634,49.238931357560574] [-123.06206040321602,49.2389312136368] [-123.06206063352518,49.238908898113934] [-123.06206878495445,49.238113655717385] [-123.0620688288048,49.23810808673803];49.23851972221298,-123.06206462260728
15;Gladstone;Gladstone;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;111.4552662;2005;const date-source unknown;;;[-123.06208338978249,49.23691714801236] [-123.06209685349187,49.23591547324318] [-123.0620968593421,49.235914660969144] [-123.06209687302828,49.23591462048318];49.23641588315052,-123.062090127381
16;Gladstone;E 34th Ave;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;49.46102147;2005;const date-source unknown;;;[-123.06273986318271,49.23893511127726] [-123.06206040339634,49.238931357560574];49.238933234418916,-123.06240013328951
17;Gladstone;Gladstone;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;54.74681918;2005;const date-source unknown;;;[-123.06052247790247,49.2472313946404] [-123.06052247511485,49.247231362259015] [-123.06053749844372,49.246739058917726] [-123.06053749841183,49.246739032831556];49.24698521379435,-123.06052998668156
18;Gladstone;Gladstone;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;17.65104948;2005;const date-source unknown;;;[-123.06050142530341,49.24792179852898] [-123.06050623002878,49.24776305450597];49.24784242651747,-123.0605038276661
19;Gladstone;Gladstone;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;59.11649314;2005;const date-source unknown;;;[-123.06050623002878,49.24776305450597] [-123.06052247790247,49.2472313946404];49.24749722457318,-123.06051435396562
20;Gladstone;Gladstone;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;132.8432527;2005;const date-source unknown;;;[-123.06278519089045,49.24269990769579] [-123.0628233255976,49.24150521229416];49.242102559994976,-123.06280425824401
21;Gladstone;Gladstone;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;46.53967976;2005;const date-source unknown;;;[-123.06283728758474,49.241085819653364] [-123.06285126279101,49.24066728421946];49.24087655193641,-123.06284427518787
22;Gladstone;Gladstone;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;48.19384667;2005;const date-source unknown;;;[-123.06285126279101,49.24066728421946] [-123.0628653301541,49.24023386697639];49.240450575597926,-123.06285829647256
23;Windsor;Windsor;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;10.41777839;2003;;;;[-123.08340965084079,49.25731365480971] [-123.08340756589496,49.2574073549707];49.2573605048902,-123.08340860836789
24;Windsor;Windsor;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;14.60468584;2003;;;;[-123.08333352513164,49.26089474867596] [-123.08333069654041,49.261026107756706];49.260960428216336,-123.08333211083603
25;Windsor;Windsor;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;14.95349426;2003;;;;[-123.08334981382232,49.26012158603748] [-123.08334755409929,49.260256087652415];49.26018883684495,-123.08334868396079
26;Windsor;Windsor;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;26.87425473;2003;;;;[-123.08335532887621,49.25987987354973] [-123.08334981382232,49.26012158603748];49.2600007297936,-123.08335257134927
27;Windsor;Windsor;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;50.2005773;2003;;;;[-123.08475991288012,49.235623413764145] [-123.08475991979317,49.23562343984529] [-123.08474812709198,49.23607491372714];49.23584916329996,-123.08475402379462
28;Cypress;Angus Drive;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;219.4284309;1996;year const- Peter Stary;;;[-123.14543592721284,49.24553378446688] [-123.1454880718342,49.24356031476215] [-123.1454880730839,49.24356027248296];49.244547028473065,-123.14546200008215
29;Cypress;Angus Drive;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;20.20005998;1996;year const- Peter Stary;;;[-123.14561545067271,49.2394890037647] [-123.14562214824348,49.239307352524065];49.239398178144384,-123.14561879945809
30;BC Parkway;E 29th Ave;Shared Lanes;;Active;Collector;EW;2W;2W;50;Paved;NO;NO;Shared Lanes;Shared Lanes;Yes;72.2904171;2007;pre-2007;;;[-123.05204320159102,49.24462240070309] [-123.0520431891935,49.24462237012487] [-123.05105001469435,49.244622813257934];49.244622591684546,-123.05154661844149
31;14th Ave;W 14th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;141.8845564;2017;;;;[-123.11111817722549,49.25866972680331] [-123.11306752527322,49.258701530747956];49.25868562877564,-123.11209285124936
32;Burnaby;Burnaby;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;160.9836122;2017;;;;[-123.13442247390117,49.281079624129745] [-123.13599001850258,49.28210199995845];49.2815908120441,-123.13520624620189
33;Burnaby;Burnaby;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;120.6047596;2017;;;;[-123.13736995860725,49.28298808382142] [-123.13854847900126,49.283751311768924];49.28336969779517,-123.13795921880427
34;Charleson Park;Charleson Park;Protected Bike Lanes;OSS;Active;Off-street;NS;2W;Off Street;;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;No;168.369234;2018;Added to map- 2018- connect to other AAA;;;[-123.1240676173953,49.26671198267878] [-123.12469366048455,49.266806674080186] [-123.12503936897714,49.266889599640926] [-123.12531979779246,49.2670439944007] [-123.12533514648732,49.267360516185576] [-123.12517416302859,49.26763773838636];49.26700364675065,-123.12489892719347
35;10th Ave;W 10th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;YES;Local Street;Local Street;Yes;174.5189792;2004;Upgrade to AAA 2018;2018;;[-123.12662496676461,49.26244015220953] [-123.1290228374404,49.26247877571718] [-123.12902287868495,49.26247878016873];49.26245946429744,-123.12782392284184
36;10th Ave;W 10th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;127.3874865;2004;year const- Peter Stary;;;[-123.13930544743995,49.26264354201325] [-123.13930548594428,49.262643549162995] [-123.14105577267935,49.2626717358589];49.26265764219557,-123.14018060973311
37;10th Ave;W 10th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;51.83096362;2004;year const- Peter Stary;;;[-123.13788218941319,49.26262097298477] [-123.13859427773782,49.26263289600033] [-123.13859433821531,49.262632896827306];49.26262693499883,-123.13823826381284
38;Inverness;Inverness;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;45.10311266;2003;year const- source unknown;;;[-123.07998488003501,49.22738383649551] [-123.07999852149177,49.226978220790976];49.227181028643244,-123.0799917007634
39;Inverness;Inverness;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;200.6604903;2003;year const- source unknown;;;[-123.07986523566318,49.230851196714475] [-123.07986522871857,49.23085114904441] [-123.07992991844323,49.22904670239051];49.22994894978863,-123.07989757271804
40;Inverness;Inverness;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;109.6010108;2003;year const- source unknown;;;[-123.08000600385384,49.22674759237056] [-123.08001166749071,49.22657295891318] [-123.0800252891514,49.2261672604055] [-123.08003868183643,49.225761935329636];49.226254763259796,-123.08002232437083
41;Inverness;Inverness;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;47.82550917;2003;year const- source unknown;;;[-123.07978302552317,49.233177038621236] [-123.07978301721195,49.23317699544978] [-123.07978841541164,49.23300720002928] [-123.07979671176186,49.23274693014392];49.232961984631224,-123.0797898594985
42;Inverness;Inverness;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;183.6840031;2003;year const- source unknown;;;[-123.07973369154347,49.23482900561003] [-123.07978302552317,49.233177038621236];49.23400302211563,-123.07975835853333
43;Inverness;Inverness;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;52.00818972;2003;year const- source unknown;;;[-123.07987752664106,49.21332185735645] [-123.07986623618599,49.212854113990794] [-123.07986624163615,49.21285408790068];49.21308797235087,-123.07987188109212
44;Inverness;Inverness;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;48.74718596;2003;year const- source unknown;;;[-123.08009154868807,49.216408201553485] [-123.0800915211611,49.21640816199335] [-123.08009395657862,49.21620555603716] [-123.08009680378647,49.215969724823786];49.216188967469215,-123.08009415931897
45;Inverness;Inverness;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;84.87992288;2003;year const- source unknown;;;[-123.08007642352268,49.2177223978442] [-123.08008518815676,49.21695890140676];49.217340649625484,-123.08008080583971
46;Inverness;Inverness;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;49.42979015;2003;year const- source unknown;;;[-123.080108187438,49.21509727819274] [-123.08011618000695,49.21465271325603] [-123.08011617445203,49.21465267458018];49.2148749761912,-123.08011218407337
47;Cypress;Angus Drive;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;148.7869483;1996;year const- Peter Stary;;;[-123.1454349105217,49.251568344753544] [-123.14576821537648,49.25085909898751] [-123.1457800311116,49.25083335592796] [-123.14581512986305,49.25075354555066] [-123.14584809894751,49.25067337264379] [-123.14587890789535,49.2505927526925] [-123.14588803676095,49.25056687988387] [-123.14590744869305,49.25051186573946] [-123.14593394945315,49.25043071239775] [-123.14595830270929,49.25034919205796] [-123.14597728388571,49.25027909434467];49.250931024399215,-123.14572482923067
48;Cypress;Angus Drive;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;84.40535412;1996;year const- Peter Stary;;;[-123.14597728388571,49.25027909434467] [-123.14598049095846,49.2502674234806] [-123.14600040840661,49.25018540680056] [-123.14600041519216,49.25018537800726] [-123.14601818976722,49.250103156241124] [-123.1460263869047,49.25005960177538] [-123.14603371026669,49.25002075921475] [-123.14604704950932,49.249938180540276] [-123.14605824874931,49.24985542736248] [-123.14606718183997,49.24977258709524] [-123.14607397135029,49.249689749536365] [-123.14607397533716,49.249689703655676] [-123.14607847660264,49.24960673406003] [-123.14608084104745,49.24952372218872] [-123.14608084644287,49.24952368800002];49.24990345611735,-123.14604411496263
49;Cypress;Angus Drive;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;53.56997448;1996;year const- Peter Stary;;;[-123.14563191857536,49.23904241761415] [-123.14563235178365,49.23903883875903] [-123.14563524066612,49.239014950039405] [-123.14564293272859,49.238973928315] [-123.14564617886234,49.23896034409889] [-123.14564858228009,49.23895123158261] [-123.14564977255888,49.23894675944444] [-123.14565144033297,49.23894115600172] [-123.14565380200654,49.23893326509245] [-123.14565818038747,49.23891976940081] [-123.14566289835224,49.23890636323329] [-123.14566794053245,49.23889295935529] [-123.14567335389535,49.23887964586101] [-123.14567909307443,49.23886641201325] [-123.14568526650477,49.2388532261919] [-123.14568528561585,49.23885318478966] [-123.14569170260238,49.238840135388564] [-123.14569857981684,49.23882709170327] [-123.14570577192784,49.238814151965286] [-123.14570578696254,49.238814125860124] [-123.14570613279031,49.23881353533575] [-123.14571333782989,49.23880125583206] [-123.14571584110698,49.238797141846824] [-123.14572111700349,49.23878847546795] [-123.1457293484075,49.2387757844853] [-123.14573401294032,49.23876897549599] [-123.14573792103107,49.238763272976534] [-123.14574683434465,49.238750761037274] [-123.1457524991076,49.238743062054866] [-123.14575598423552,49.23873834864605] [-123.14575961240924,49.23873369442528] [-123.14576556595314,49.23872609492509] [-123.14577537599982,49.23871393896339] [-123.1457753965322,49.23871391375077] [-123.14578554762814,49.238701879693174] [-123.14578557090272,49.238701852678076] [-123.14579604370645,49.238689903668394] [-123.14580688924573,49.2386781071065] [-123.14581804691852,49.23866640999682] [-123.14582947567851,49.23865486906115] [-123.1458412262119,49.23864343566107] [-123.14585330697834,49.23863218354685] [-123.14587828129247,49.2386099850261] [-123.14588368880548,49.23860544279412] [-123.14589097099969,49.23859932762429];49.23880418419987,-123.1457317412294
50;Cypress;Angus Drive;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;69.64842987;1996;year const- Peter Stary;;;[-123.14589097099969,49.23859932762429] [-123.14589109844968,49.23859922221895] [-123.14589122042051,49.238599122217686] [-123.14590449244135,49.238588411006994] [-123.14591794901496,49.238577860576626] [-123.1459317383938,49.2385674320596] [-123.14594580720511,49.238557194786665] [-123.14594586478383,49.23855715423531] [-123.14596010187478,49.23854714972492] [-123.14596015397434,49.23854711457764] [-123.14597480219597,49.23853723907754] [-123.14598501405095,49.23853046714486] [-123.14598961267467,49.238527417342006] [-123.14600268306344,49.23851915578053] [-123.14600272831271,49.238519126938584] [-123.14657494034492,49.238161655329186];49.23837727050308,-123.14623073903093
51;Cypress;Angus Drive;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;49.67370948;1996;year const- Peter Stary;;;[-123.14559933176831,49.239935705476924] [-123.14561545067271,49.2394890037647];49.23971235462081,-123.14560739122051
52;Ridgeway;Quesnel Drive;Local Street;;Active;Collector;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;49.53896294;2013;one section w. shared marking;;;[-123.16793829673952,49.24619729937875] [-123.16793855140229,49.24619784501942] [-123.16829451493925,49.246576994366116];49.24638720013571,-123.16811632718908
53;Ridgeway;Quesnel Drive;Local Street;;Active;Collector;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;57.82687156;2013;one section w. shared marking;;;[-123.17255886404308,49.25055300141055] [-123.1725588833619,49.25055302476928] [-123.1728927937443,49.250938609819315] [-123.1729660789596,49.25099871689075];49.25078072637779,-123.17275773283527
54;Ridgeway;Quesnel Drive;Local Street;;Active;Collector;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;64.57946794;2013;one section w. shared marking;;;[-123.17352990811773,49.25146107262462] [-123.17408351821717,49.25191507451042];49.25168807356752,-123.17380671316745
55;Ridgeway;Quesnel Drive;Local Street;;Active;Collector;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;64.85307545;2013;one section w. shared marking;;;[-123.17408351821717,49.25191507451042] [-123.17408355132285,49.251915110441445] [-123.17464444777507,49.25236834932586] [-123.17464447395676,49.252368369975315];49.252141725008634,-123.17436399351638
56;Ridgeway;Quesnel Drive;Local Street;;Active;Collector;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;43.4560009;2013;one section w. shared marking;;;[-123.17565170355735,49.25308422766227] [-123.17556378130428,49.25302104750042] [-123.17556373584848,49.25302101698572] [-123.1755593419445,49.25301811100821] [-123.17553346076674,49.25300103511556] [-123.17551512323898,49.2529892306538] [-123.17550279630572,49.252981295800495] [-123.17548468236318,49.2529701485453] [-123.17547145463156,49.252962008166655] [-123.17543977757516,49.25294307724446] [-123.17543973488695,49.25294305212265] [-123.175407465407,49.25292445761313] [-123.17540740895178,49.25292442531601] [-123.1753747107739,49.25290622364005] [-123.17534145460267,49.2528883799121] [-123.17530773659078,49.25287088319158] [-123.17530545571016,49.252869784737214] [-123.17520907357019,49.25282330328536];49.25294588816271,-123.17543505832631
57;Ridgeway;Narvaez Drive;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;17.17125786;2013;add paint (2015)at 33rd?;;;[-123.15964610932647,49.24219009338428] [-123.1598819334967,49.242194257685476];49.24219217553488,-123.15976402141159
58;Pacific;Pacific St;Protected Bike Lanes;R;Active;Arterial;EW;OW;2W;50;Paved;YES;YES;Shared Lanes;Protected Bike Lanes;Yes;49.69820394;2009;pre-2009,PL to PBL in 2020;2020;;[-123.13038406743819,49.27567828261879] [-123.1308616504346,49.27599797951838];49.27583813106858,-123.13062285893638
59;Carrall;Carrall;Protected Bike Lanes;R;Active;Arterial;NS;2W;OW;;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;Yes;30.6171001;2009;;;;[-123.10429302203667,49.28275100581066] [-123.10430446853442,49.28247573859075] [-123.10430446983163,49.28247570170933];49.28261335376452,-123.10429874605214
60;Burrard;Burrard;Protected Bike Lanes;SL;Active;Arterial;NS;OW;2W;50;Paved;YES;YES;;Protected Bike Lanes;Yes;93.17123888;2017;;;;[-123.14566173571684,49.266301214181] [-123.14569300822615,49.26546337130673];49.26588229274387,-123.14567737197149
61;Seaside;Maple;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;54.11409632;1990;;;;[-123.15006037031209,49.27625512854257] [-123.15006031531702,49.276255127714464] [-123.15004172172392,49.27674170518151];49.27649838897054,-123.15005101957358
62;Seaside;Ogden;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;27.83678209;1990;;;;[-123.14800883377158,49.27688114563421] [-123.14763904122064,49.27681664467978];49.27684889515701,-123.14782393749611
63;Nanaimo;Nanaimo St.;Painted Lanes;PBP;Active;Arterial;NS;2W;2W;50;Paved;NO;NO;Painted Lanes;Painted Lanes;Yes;25.09906472;2021;;;;[-123.05657969402661,49.27497742164873] [-123.05658021941575,49.27475165119959];49.27486453642416,-123.05657995672118
64;Cypress;Angus Drive;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;153.5912255;1996;year const- Peter Stary;;;[-123.14610115498856,49.248904286727004] [-123.14614477135865,49.24752299568399];49.248213641205496,-123.14612296317361
65;Cypress;Matthews Ave;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;66.23122968;1996;year const- Peter Stary;;;[-123.1454349105217,49.251568344753544] [-123.14631493706453,49.25141646101382];49.25149240288369,-123.14587492379312
66;Cypress;East Blvd;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;56.41488726;1996;parallel to arbutus greenway;;;[-123.14823429638858,49.216486218208104] [-123.14822977206519,49.216478027513205] [-123.14797054319509,49.21600911468363] [-123.14797051836585,49.21600907693526];49.216247645898044,-123.14810241026758
67;Cypress;East Blvd;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;51.25716623;1996;parallel to arbutus greenway;;;[-123.14724345024776,49.214546320450864] [-123.14702364677872,49.21410831055788];49.21432731550438,-123.14713354851324
68;Cypress;East Blvd;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;55.82306151;1996;parallel to arbutus greenway;;;[-123.14797051836585,49.21600907693526] [-123.14773328423392,49.215531588040875];49.21577033248806,-123.14785190129989
69;Cypress;Cypress;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;51.15968371;1996;year const- Peter Stary;;;[-123.1483859610362,49.25672598819475] [-123.14840347937228,49.256265939386665];49.25649596379071,-123.14839472020424
70;Cypress;Cypress;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;51.21422347;1996;year const- Peter Stary;;;[-123.14842033883164,49.255805791538485] [-123.14843699613336,49.255345238226184];49.25557551488234,-123.1484286674825
71;Cornwall;Cornwall;Protected Bike Lanes;SL;Active;Arterial;NS;2W;Off Street;50;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;Yes;103.6968966;1990;PL to PBL in 2014;2014;;[-123.14637763807796,49.27243973965425] [-123.14780272918446,49.272462806220084];49.27245127293717,-123.1470901836312
72;BC Parkway;Off Street;Protected Bike Lanes;OSS;Active;Off-street;EW;BD;Off Street;;Paved;NO;YES;Protected Bike Lanes;Protected Bike Lanes;No;74.02745022;2007;pre-2007;;;[-123.04649535701265,49.24426551141318] [-123.04563329464591,49.2439121508183];49.24408883111575,-123.04606432582926
73;Nanaimo;Nanaimo St.;Painted Lanes;PBP;Active;Arterial;NS;2W;2W;50;Paved;NO;NO;Painted Lanes;Painted Lanes;Yes;25.95461726;2021;;;;[-123.0565824219194,49.275210881380154] [-123.05657969402661,49.27497742164873];49.27509415151443,-123.056581057973
74;Homer;Homer;Painted Lanes;NB;Active;Arterial;NS;OW;2W;50;Paved;NO;NO;Painted Lanes;;Yes;149.156178;2005;;;;[-123.1248604725919,49.27419629127198] [-123.1253337728894,49.273882860461406] [-123.12533382092569,49.273882828926126] [-123.1253364203584,49.27388111612071] [-123.12536097855879,49.273864183018155] [-123.1253610142383,49.27386415779291] [-123.1253851921401,49.27384688867759] [-123.12540895019494,49.27382940952537] [-123.12543220704457,49.273811622377266] [-123.12543225780966,49.27381158274334] [-123.12545499718085,49.27379357577013] [-123.12547729314556,49.27377528412635] [-123.12549910727287,49.27375673214103] [-123.12550945652359,49.273747589881516] [-123.12552039695738,49.27373792435827] [-123.12554118709994,49.27371892191865] [-123.12554122276099,49.27371888949721] [-123.125561546262,49.27369965548492] [-123.12558133420218,49.27368011801358] [-123.12560054975619,49.27366039226197] [-123.12561927946214,49.27364045025121] [-123.12561931373692,49.273640413333666] [-123.12563752184282,49.27362025150473] [-123.12565515345334,49.27359990679789] [-123.12567221406795,49.273579379207426] [-123.12568871586322,49.27355859136165] [-123.12570476371943,49.27353770056261] [-123.12572021159978,49.27351658283572] [-123.12572023077978,49.27351655672878] [-123.1257350390919,49.27349532005966] [-123.12573506100989,49.27349528945217] [-123.12574937515605,49.27347380775013] [-123.12575467426132,49.27346549762223] [-123.12576314872057,49.27345220879761] [-123.12577624273032,49.273430443272545] [-123.12578877142145,49.27340856322285] [-123.12579216363572,49.27340236813955] [-123.12580084464037,49.27338651635705] [-123.12580690708185,49.27337457043862] [-123.1258121227973,49.27336429045179] [-123.12582296356979,49.273341982265855] [-123.1258279931704,49.27333095767902] [-123.12583320743502,49.273319570384594] [-123.12584277725337,49.27329699372497] [-123.12585177638192,49.2732743511216] [-123.12585179140552,49.273274312425926] [-123.12586013333338,49.27325164175305] [-123.12586014835009,49.27325160035879] [-123.12586789053051,49.273228789114] [-123.12587509620165,49.27320583722856] [-123.12587641523982,49.27320123924854] [-123.12588171743651,49.27318281851534] [-123.12588418630138,49.27317303625296] [-123.12588755343926,49.273159699011515] [-123.12589293716404,49.27313658449766] [-123.12589764291204,49.27311337897121] [-123.12590177262429,49.27309016507695] [-123.12590310887818,49.273080990324054] [-123.1259031074279,49.2730809606415];49.27370682170368,-123.1254673417421
75;Nanaimo;Nanaimo St.;Painted Lanes;PBP;Active;Arterial;NS;2W;2W;50;Paved;NO;NO;Painted Lanes;Painted Lanes;Yes;67.10219315;2021;;;;[-123.05658021941575,49.27475165119959] [-123.05658174239939,49.27414805538994];49.27444985329476,-123.05658098090758
76;Quebec;Quebec;Painted Lanes;NB;Active;Sec Arterial;NS;OW;2W;50;Paved;NO;NO;Painted Lanes;Painted Lanes;Yes;81.77959483;2009;s part- not painted,W - protected other route;;;[-123.1020791683217,49.276070501391665] [-123.102058892618,49.2758859128896] [-123.10202827408746,49.27560716199942] [-123.10198412360245,49.27533761791259];49.27570344206818,-123.1020361630383
